"","dispersal","sig_niche","alpha","n_sp","rep"
"353",0.0464158883361278,0.0464158883361278,"patch_dynamics",7,1
"354",0.0464158883361278,0.1,"0.5",28,1
"355",0.0464158883361278,0.1,"1.5",15,1
"356",0.0464158883361278,0.1,"equal",9,1
"357",0.0464158883361278,0.1,"patch_dynamics",11,1
"358",0.0464158883361278,0.215443469003188,"0.5",27,1
"359",0.0464158883361278,0.215443469003188,"1.5",11,1
"360",0.0464158883361278,0.215443469003188,"equal",8,1
"361",0.0464158883361278,0.215443469003188,"patch_dynamics",8,1
"362",0.0464158883361278,0.464158883361278,"0.5",29,1
"363",0.0464158883361278,0.464158883361278,"1.5",10,1
"364",0.0464158883361278,0.464158883361278,"equal",13,1
"365",0.0464158883361278,0.464158883361278,"patch_dynamics",7,1
"366",0.0464158883361278,1,"0.5",26,1
"367",0.0464158883361278,1,"1.5",7,1
"368",0.0464158883361278,1,"equal",13,1
"369",0.0464158883361278,1,"patch_dynamics",6,1
"370",0.0464158883361278,2.15443469003188,"0.5",27,1
"371",0.0464158883361278,2.15443469003188,"1.5",6,1
"372",0.0464158883361278,2.15443469003188,"equal",14,1
"373",0.0464158883361278,2.15443469003188,"patch_dynamics",4,1
"374",0.0464158883361278,4.64158883361278,"0.5",28,1
"375",0.0464158883361278,4.64158883361278,"1.5",2,1
"376",0.0464158883361278,4.64158883361278,"equal",14,1
"377",0.0464158883361278,4.64158883361278,"patch_dynamics",6,1
"378",0.0464158883361278,10,"0.5",27,1
"379",0.0464158883361278,10,"1.5",5,1
"380",0.0464158883361278,10,"equal",17,1
"381",0.0464158883361278,10,"patch_dynamics",2,1
"382",0.1,0.0215443469003188,"0.5",13,1
"383",0.1,0.0215443469003188,"1.5",7,1
"384",0.1,0.0215443469003188,"equal",7,1
"385",0.1,0.0215443469003188,"patch_dynamics",7,1
"386",0.1,0.0464158883361278,"0.5",24,1
"387",0.1,0.0464158883361278,"1.5",11,1
"388",0.1,0.0464158883361278,"equal",7,1
"389",0.1,0.0464158883361278,"patch_dynamics",12,1
"390",0.1,0.1,"0.5",28,1
"391",0.1,0.1,"1.5",14,1
"392",0.1,0.1,"equal",9,1
"393",0.1,0.1,"patch_dynamics",9,1
"394",0.1,0.215443469003188,"0.5",28,1
"395",0.1,0.215443469003188,"1.5",11,1
"396",0.1,0.215443469003188,"equal",9,1
"397",0.1,0.215443469003188,"patch_dynamics",5,1
"398",0.1,0.464158883361278,"0.5",27,1
"399",0.1,0.464158883361278,"1.5",6,1
"400",0.1,0.464158883361278,"equal",8,1
"401",0.1,0.464158883361278,"patch_dynamics",7,1
"402",0.1,1,"0.5",28,1
"403",0.1,1,"1.5",4,1
"404",0.1,1,"equal",8,1
"405",0.1,1,"patch_dynamics",9,1
"406",0.1,2.15443469003188,"0.5",31,1
"407",0.1,2.15443469003188,"1.5",7,1
"408",0.1,2.15443469003188,"equal",13,1
"409",0.1,2.15443469003188,"patch_dynamics",2,1
"410",0.1,4.64158883361278,"0.5",30,1
"411",0.1,4.64158883361278,"1.5",6,1
"412",0.1,4.64158883361278,"equal",15,1
"413",0.1,4.64158883361278,"patch_dynamics",4,1
"414",0.1,10,"0.5",31,1
"415",0.1,10,"1.5",4,1
"416",0.1,10,"equal",15,1
"417",0.1,10,"patch_dynamics",4,1
"418",0.215443469003188,0.01,"0.5",1,1
"419",0.215443469003188,0.01,"patch_dynamics",1,1
"420",0.215443469003188,0.0215443469003188,"0.5",16,1
"421",0.215443469003188,0.0215443469003188,"1.5",7,1
"422",0.215443469003188,0.0215443469003188,"equal",7,1
"423",0.215443469003188,0.0215443469003188,"patch_dynamics",8,1
"424",0.215443469003188,0.0464158883361278,"0.5",25,1
"425",0.215443469003188,0.0464158883361278,"1.5",12,1
"426",0.215443469003188,0.0464158883361278,"equal",8,1
"427",0.215443469003188,0.0464158883361278,"patch_dynamics",7,1
"428",0.215443469003188,0.1,"0.5",28,1
"429",0.215443469003188,0.1,"1.5",11,1
"430",0.215443469003188,0.1,"equal",7,1
"431",0.215443469003188,0.1,"patch_dynamics",7,1
"432",0.215443469003188,0.215443469003188,"0.5",29,1
"433",0.215443469003188,0.215443469003188,"1.5",7,1
"434",0.215443469003188,0.215443469003188,"equal",8,1
"435",0.215443469003188,0.215443469003188,"patch_dynamics",5,1
"436",0.215443469003188,0.464158883361278,"0.5",28,1
"437",0.215443469003188,0.464158883361278,"1.5",4,1
"438",0.215443469003188,0.464158883361278,"equal",7,1
"439",0.215443469003188,0.464158883361278,"patch_dynamics",7,1
"440",0.215443469003188,1,"0.5",26,1
"441",0.215443469003188,1,"1.5",2,1
"442",0.215443469003188,1,"equal",5,1
"443",0.215443469003188,1,"patch_dynamics",8,1
"444",0.215443469003188,2.15443469003188,"0.5",32,1
"445",0.215443469003188,2.15443469003188,"1.5",6,1
"446",0.215443469003188,2.15443469003188,"equal",10,1
"447",0.215443469003188,2.15443469003188,"patch_dynamics",6,1
"448",0.215443469003188,4.64158883361278,"0.5",31,1
"449",0.215443469003188,4.64158883361278,"1.5",6,1
"450",0.215443469003188,4.64158883361278,"equal",17,1
"451",0.215443469003188,4.64158883361278,"patch_dynamics",4,1
"452",0.215443469003188,10,"0.5",30,1
"453",0.215443469003188,10,"1.5",7,1
"454",0.215443469003188,10,"equal",14,1
"455",0.215443469003188,10,"patch_dynamics",2,1
"456",0.464158883361278,0.01,"0.5",1,1
"457",0.464158883361278,0.01,"1.5",1,1
"458",0.464158883361278,0.01,"equal",1,1
"459",0.464158883361278,0.01,"patch_dynamics",1,1
"460",0.464158883361278,0.0215443469003188,"0.5",13,1
"461",0.464158883361278,0.0215443469003188,"1.5",5,1
"462",0.464158883361278,0.0215443469003188,"equal",6,1
"463",0.464158883361278,0.0215443469003188,"patch_dynamics",7,1
"464",0.464158883361278,0.0464158883361278,"0.5",21,1
"465",0.464158883361278,0.0464158883361278,"1.5",7,1
"466",0.464158883361278,0.0464158883361278,"equal",5,1
"467",0.464158883361278,0.0464158883361278,"patch_dynamics",8,1
"468",0.464158883361278,0.1,"0.5",22,1
"469",0.464158883361278,0.1,"1.5",9,1
"470",0.464158883361278,0.1,"equal",4,1
"471",0.464158883361278,0.1,"patch_dynamics",4,1
"472",0.464158883361278,0.215443469003188,"0.5",20,1
"473",0.464158883361278,0.215443469003188,"1.5",4,1
"474",0.464158883361278,0.215443469003188,"equal",4,1
"475",0.464158883361278,0.215443469003188,"patch_dynamics",5,1
"476",0.464158883361278,0.464158883361278,"0.5",23,1
"477",0.464158883361278,0.464158883361278,"1.5",4,1
"478",0.464158883361278,0.464158883361278,"equal",2,1
"479",0.464158883361278,0.464158883361278,"patch_dynamics",5,1
"480",0.464158883361278,1,"0.5",27,1
"481",0.464158883361278,1,"1.5",3,1
"482",0.464158883361278,1,"equal",4,1
"483",0.464158883361278,1,"patch_dynamics",2,1
"484",0.464158883361278,2.15443469003188,"0.5",32,1
"485",0.464158883361278,2.15443469003188,"1.5",4,1
"486",0.464158883361278,2.15443469003188,"equal",7,1
"487",0.464158883361278,2.15443469003188,"patch_dynamics",3,1
"488",0.464158883361278,4.64158883361278,"0.5",31,1
"489",0.464158883361278,4.64158883361278,"1.5",4,1
"490",0.464158883361278,4.64158883361278,"equal",15,1
"491",0.464158883361278,4.64158883361278,"patch_dynamics",4,1
"492",0.464158883361278,10,"0.5",33,1
"493",0.464158883361278,10,"1.5",7,1
"494",0.464158883361278,10,"equal",17,1
"495",0.464158883361278,10,"patch_dynamics",4,1
"496",1e-05,0.215443469003188,"0.5",17,2
"497",1e-05,0.215443469003188,"1.5",12,2
"498",1e-05,0.215443469003188,"equal",12,2
"499",1e-05,0.464158883361278,"0.5",43,2
"500",1e-05,0.464158883361278,"1.5",38,2
"501",1e-05,0.464158883361278,"equal",42,2
"502",1e-05,0.464158883361278,"patch_dynamics",3,2
"503",1e-05,1,"0.5",45,2
"504",1e-05,1,"1.5",42,2
"505",1e-05,1,"equal",41,2
"506",1e-05,1,"patch_dynamics",1,2
"507",1e-05,2.15443469003188,"0.5",42,2
"508",1e-05,2.15443469003188,"1.5",45,2
"509",1e-05,2.15443469003188,"equal",45,2
"510",1e-05,2.15443469003188,"patch_dynamics",3,2
"511",1e-05,4.64158883361278,"0.5",46,2
"512",1e-05,4.64158883361278,"1.5",39,2
"513",1e-05,4.64158883361278,"equal",39,2
"514",1e-05,4.64158883361278,"patch_dynamics",3,2
"515",1e-05,10,"0.5",46,2
"516",1e-05,10,"1.5",43,2
"517",1e-05,10,"equal",42,2
"518",1e-05,10,"patch_dynamics",5,2
"519",2.15443469003188e-05,0.1,"0.5",1,2
