"","rep","dispersal","sig_niche","alpha","space_var_part_Space","space_var_part_both","space_var_part_Environment","space_var_part_Residual"
"1998","14","0.0215443469003188","10","patch","0","0.00362110024977391","0","1.03952102956997"
"1999","14","0.0215443469003188","1","0.5","0.0376173622929352","0","0.218649133573714","0.769955224740836"
"2000","14","0.0215443469003188","1","1.5","0","0","0.19332659926781","0.84643756233614"
"2001","14","0.0215443469003188","1","equal","0","0","0.616553552831992","0.489123767189439"
"2002","14","0.0215443469003188","1","patch","NaN","NaN","NaN","NaN"
"2003","14","0.0215443469003188","2.15443469003188","0.5","0.0510742152743935","0.0113918166273003","0.074128608677822","0.863405359420484"
"2004","14","0.0215443469003188","2.15443469003188","1.5","0","0.00459616992769374","0.00343336698384999","1.05415907677235"
"2005","14","0.0215443469003188","2.15443469003188","equal","0","0","0.018393358332454","1.01963371558517"
"2006","14","0.0215443469003188","2.15443469003188","patch","NaN","NaN","NaN","NaN"
"2007","14","0.0215443469003188","4.64158883361278","0.5","0.00227783092518064","0.00404953290507171","0","0.99614767115151"
"2008","14","0.0215443469003188","4.64158883361278","1.5","0.00100595715341023","0","0.0104321223195325","1.00026106202339"
"2009","14","0.0215443469003188","4.64158883361278","equal","0","0.0108451188354136","0.0180147222259357","1.00730623706297"
"2010","14","0.0215443469003188","4.64158883361278","patch","0","0.00846005004420847","0","1.04398990213429"
"2011","14","0.0464158883361278","0.0215443469003188","0.5",NA,NA,"NaN",NA
"2012","14","0.0464158883361278","0.0215443469003188","1.5",NA,NA,NA,NA
"2013","14","0.0464158883361278","0.0215443469003188","equal",NA,NA,"NaN",NA
"2014","14","0.0464158883361278","0.0215443469003188","patch",NA,NA,NA,NA
"2015","14","0.0464158883361278","0.0464158883361278","0.5","0","0","0.208694653063676","0.806538884644344"
"2016","14","0.0464158883361278","0.0464158883361278","1.5","0","0","0.191657149679446","0.823928158980267"
"2017","14","0.0464158883361278","0.0464158883361278","equal","0.0122948932773421","0","0.251246429502578","0.763028431632625"
"2018","14","0.0464158883361278","0.0464158883361278","patch","0","0.00647700699034925","0.0783978090044904","0.938306877527091"
"2019","14","0.0464158883361278","0.1","0.5","0.00338094956946744","0","0.330215534755752","0.670385094448857"
"2020","14","0.0464158883361278","0.1","1.5","0","0.00749989627989223","0.297930778322018","0.697207103516702"
"2021","14","0.0464158883361278","0.1","equal","0","0.000215106275587518","0.22027657579206","0.784339767899345"
"2022","14","0.0464158883361278","0.1","patch","0","0.0299167958742138","0.330096112441153","0.652740768644611"
"2023","14","0.0464158883361278","0.215443469003188","0.5","0.00299244485256178","0.00907565073862149","0.413800035129499","0.574131869279318"
"2024","14","0.0464158883361278","0.215443469003188","1.5","0.00741260952762046","0.0262590401870882","0.367508057352784","0.598820292932508"
"2025","14","0.0464158883361278","0.215443469003188","equal","0","0","0.358905611044331","0.684146189360628"
"2026","14","0.0464158883361278","0.215443469003188","patch","0.0436159950444673","0","0.480496309840542","0.483721677378834"
"2027","14","0.0464158883361278","0.464158883361278","0.5","0.0118569930747181","0.00157770971154325","0.459891421957613","0.526673875256126"
"2028","14","0.0464158883361278","0.464158883361278","1.5","0.00311868024933093","0.0178843378075416","0.437651091249249","0.541345890693878"
"2029","14","0.0464158883361278","0.464158883361278","equal","0","0.0158880452608905","0.571810828428985","0.426877396538044"
"2030","14","0.0464158883361278","0.464158883361278","patch","0.0517652165829995","0","0.655962750155232","0.349765224991779"
"2031","14","0.0464158883361278","10","0.5","0.0292094250537288","0","0.00938687389806248","0.964154410329992"
"2032","14","0.0464158883361278","10","1.5","0","0","0.00520724348516022","1.03691907722476"
"2033","14","0.0464158883361278","10","equal","0","0.00417909372131842","0","1.01434154814267"
"2034","14","0.0464158883361278","10","patch","NaN","NaN","NaN","NaN"
"2035","14","0.0464158883361278","1","0.5","0.0251497158349212","0","0.261672029329469","0.749759712873361"
"2036","14","0.0464158883361278","1","1.5","0","0.00838924943224473","0.0319580781425757","0.963053213308199"
"2037","14","0.0464158883361278","1","equal","0.00870813363197676","0","0.37550953620435","0.653795719334139"
"2038","14","0.0464158883361278","1","patch","0","0","0.0574992992944119","1.06293524878311"
"2039","14","0.0464158883361278","2.15443469003188","0.5","0","0.00694330183443514","0.0131557587476006","0.984386095155509"
"2040","14","0.0464158883361278","2.15443469003188","1.5","0.12840304956923","0.00345169316327365","0","0.876864026689737"
"2041","14","0.0464158883361278","2.15443469003188","equal","0","0","0.0221086385194986","1.0698577694718"
"2042","14","0.0464158883361278","2.15443469003188","patch","0.00948851383009197","0","0.169785068241396","0.899373914704898"
